case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-00011,2027-07-07 18:22,Manoj Roy,Male,61-70,Odisha,Odisha District 2,Hindi,Gauri Patangan,Adgaon Kho-Ya-Paya,,"Boy about 12, wearing school dress",Reunited,16.6,False,Bharat Bharati volunteer handled
KMP-2027-00012,2027-08-08 08:03,,Female,18-40,Assam,Assam District 2,Bhojpuri,Panchavati Circle,Central Control Room,,"Child in red shirt, about 8-10 years, crying",Reunited,2.7,False,Bharat Bharati volunteer handled
KMP-2027-00013,2027-07-13 14:13,,Female,41-60,Jharkhand,Jharkhand District 2,Maithili,Kushavart Kund,Nashik Road Center,+91 9266211829,Child missing,Reunited,1.5,True,Announcement made on PA
KMP-2027-00014,2027-08-07 12:37,Gaurav Shah,Male,80+,Madhya Pradesh,Rewa,Marathi,Main Police Chowki,Central Control Room,,"Girl child about 5 years, red bindi, crying",Reunited,3.5,False,Found near ghat
KMP-2027-00015,2027-07-30 08:04,Ravi Dubey,Male,41-60,Andhra Pradesh,Tirupati,Tamil,Panchavati Circle,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6110002396,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,1.7,True,Brought by volunteer
KMP-2027-00016,2027-07-07 09:16,Santosh Agarwal,Male,71-80,Delhi,Delhi District 3,Maithili,Sadhugram Gate 1,Bharat Bharati Control Room,+91 8812308209,Child missing,Reunited,1.3,False,Police assisted
KMP-2027-00017,2027-07-01 15:49,Ajay Sinha,Male,61-70,Maharashtra,Nashik,Kannada,Sadhugram Gate 2,Sadhugram Lost Found,+91 8147337803,"Young boy in blue uniform, school bag",Reunited,2.2,True,
KMP-2027-00018,2027-07-03 14:23,,Female,0-12,Punjab,Punjab District 3,Bhojpuri,Kushavart Kund,Panchavati Center,+91 9236843584,"Old woman, white clothes, lost memory",Reunited,1.7,False,Bharat Bharati volunteer handled
KMP-2027-00019,2027-07-12 15:50,Kanta Kumar,Female,41-60,Gujarat,Mehsana,Gujarati,Gauri Patangan,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9126614158,"Woman speaking Tamil, wearing silk saree",Reunited,0.5,False,Announcement made on PA
KMP-2027-00020,2027-07-13 17:21,Ankit Das,Male,41-60,Tamil Nadu,Coimbatore,Tamil,Madsangvi Transit,Bharat Bharati Control Room,,Man from UP,Reunited,2.8,False,GGTalk app used
KMP-2027-00021,2027-08-08 21:07,Ramesh Singh,Male,41-60,Kerala,Kerala District 2,Tamil,Kapila Sangam,Nashik Road Center,,"Old woman, white clothes, lost memory",Reunited,2.3,False,GGTalk app used
KMP-2027-00022,2027-07-08 14:32,Kanta Desai,Female,41-60,Madhya Pradesh,Satna,Bengali,Takli Sangam,Adgaon Kho-Ya-Paya,+91 8812306873,"Child girl, pigtails, pink frock, about 6 years",Reunited,3.2,False,Cross-center transfer needed
KMP-2027-00023,2027-07-19 11:27,Durga Desai,Female,61-70,Andhra Pradesh,Tirupati,Telugu,Trimbak Road,Nashik Road Center,+91 6426283245,,Reunited,2.3,False,Announcement made on PA
KMP-2027-00024,2027-07-16 14:14,Pushpa Desai,Female,13-17,Chhattisgarh,Chhattisgarh District 3,Hindi,Rajur Bahula,Ramkund Kho-Ya-Paya Kendra,+91 8200273738,"Wearing white saree, grey hair, speaks Hindi",Reunited,2.6,False,
KMP-2027-00025,2027-08-14 05:57,Rahul Reddy,Male,71-80,Haryana,Haryana District 2,Gujarati,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,+91 7804436922,"Man in saffron kurta, has rudraksha mala",Reunited,4.8,False,GGTalk app used
KMP-2027-00026,2027-08-02 18:53,Gaurav Singh,Male,71-80,Chhattisgarh,Chhattisgarh District 3,Kannada,Panchavati Circle,Rajur Bahula Center,+91 9757830420,"Young boy in blue uniform, school bag",Reunited,5.6,False,Found near ghat
KMP-2027-00027,2027-07-21 07:08,Anjali Mehta,Female,41-60,Madhya Pradesh,Satna,Gujarati,Sadhugram Gate 2,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8460613550,"Old man, bald, wearing vest and dhoti",Reunited,0.3,False,GGTalk app used
KMP-2027-00028,2027-08-06 17:30,Suresh Joshi,Male,41-60,Kerala,Kerala District 3,Bengali,Ramkund Ghat,Panchavati Center,,"Old man confused, keeps asking for Ramkund",Pending,,False,Bharat Bharati volunteer handled
KMP-2027-00029,2027-07-12 19:58,Kanta Trivedi,Female,71-80,Odisha,Odisha District 1,Hindi,Sadhugram Gate 2,Nashik Road Center,+91 9131165166,"Woman with three children, lost husband",Pending,,False,Cross-center transfer needed
KMP-2027-00030,2027-07-21 15:48,,Male,61-70,Maharashtra,Pune,Bengali,Kapila Sangam,Sadhugram Lost Found,+91 7588229686,Man from UP,Reunited,0.3,True,GGTalk app used
KMP-2027-00031,2027-07-16 11:53,Bharat Tiwari,Male,71-80,Maharashtra,Solapur,Bhojpuri,Ramkund Ghat,Nashik Road Center,,"Elderly man with walking stick, hard of hearing",Reunited,4.4,False,Brought by volunteer
KMP-2027-00032,2027-07-26 17:45,Shyam Pillai,Male,61-70,Bihar,Saran,Bhojpuri,Rajur Bahula,Bharat Bharati Control Room,+91 8216070149,"Old man, hearing aid, wearing full pants shirt",Reunited,5.9,False,Family waiting at center
KMP-2027-00033,2027-07-27 20:06,Pushpa Nair,Female,41-60,Uttarakhand,Uttarakhand District 3,Kannada,Gauri Patangan,Panchavati Center,+91 8113585139,,Reunited,2.3,False,Cross-center transfer needed
KMP-2027-00034,2027-07-06 13:56,Rohit Das,Male,61-70,Uttarakhand,Uttarakhand District 3,Kannada,Dasak Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8363598427,Man from UP,Reunited,4.4,False,Announcement made on PA
KMP-2027-00035,2027-07-01 21:12,Sita Mehta,Female,71-80,Telangana,Telangana District 2,Bengali,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8696776072,Child missing,Reunited,5.7,False,Cross-center transfer needed
KMP-2027-00036,2027-08-05 21:22,,Female,41-60,Haryana,Haryana District 3,Telugu,Gauri Patangan,Police Main Control Room,+91 8608159580,"Child girl, pigtails, pink frock, about 6 years",Reunited,1.3,False,
KMP-2027-00037,2027-08-07 21:38,Rekha Singh,Female,80+,Gujarat,Surat,Tamil,Takli Sangam,Bharat Bharati Control Room,+91 9396889215,"Old woman, white clothes, lost memory",Reunited,0.8,True,GGTalk app used
KMP-2027-00038,2027-07-01 14:30,Suresh Verma,Male,71-80,Rajasthan,Bikaner,Gujarati,Bus Stand Nashik,Rajur Bahula Center,+91 9210152642,"Child girl, pigtails, pink frock, about 6 years",Transferred to hospital,,False,Announcement made on PA
KMP-2027-00039,2027-08-06 14:05,Mahesh Chaudhary,Male,61-70,Maharashtra,Mumbai,Bengali,Dindori Road Crossing,Bharat Bharati Control Room,,"Woman with three children, lost husband",Reunited,6.3,False,GGTalk app used
KMP-2027-00040,2027-07-07 11:40,Manoj Agarwal,Male,61-70,Uttarakhand,Uttarakhand District 2,Marathi,Rajur Bahula,Sadhugram Lost Found,+91 6754586204,Lost near ghats,Reunited,0.8,True,
KMP-2027-00041,2027-08-13 12:59,Ravi Iyer,Male,0-12,Andhra Pradesh,Kurnool,Bhojpuri,Madsangvi Transit,Nashik Road Center,+91 9176428684,Lost near ghats,Reunited,3.1,False,Found near ghat
KMP-2027-00042,2027-07-20 17:17,Kavita Verma,Female,41-60,Kerala,Kerala District 2,Kannada,Nashik Road Station,Police Main Control Room,+91 9839462365,"Old woman in white saree, widow marks",Reunited,0.2,False,Police assisted
KMP-2027-00043,2027-07-03 10:30,Savita Gupta,Female,61-70,Kerala,Kerala District 3,Gujarati,Nashik Road Station,Rajur Bahula Center,+91 8718740490,"Woman speaking Tamil, wearing silk saree",Unresolved,,False,Announcement made on PA
KMP-2027-00044,2027-07-27 20:18,Pooja Pandey,Female,41-60,Bihar,Saran,Kannada,Kapila Sangam,Police Main Control Room,,"Old man in dhoti kurta, cannot remember name",Reunited,1.2,False,Bharat Bharati volunteer handled
KMP-2027-00045,2027-07-11 11:17,Kamla Sharma,Female,61-70,Uttarakhand,Uttarakhand District 1,Kannada,Panchavati Circle,Ramkund Kho-Ya-Paya Kendra,,"Old man confused, keeps asking for Ramkund",Pending,,False,
KMP-2027-00046,2027-07-08 19:07,Laxmi Menon,Female,18-40,Assam,Assam District 1,Tamil,Sadhugram Gate 2,Rajur Bahula Center,+91 6341270488,Old woman,Reunited,1.3,False,Announcement made on PA
KMP-2027-00047,2027-07-27 15:59,Mukesh Kumar,Male,80+,Chhattisgarh,Chhattisgarh District 3,Tamil,Nashik Road Station,Sadhugram Lost Found,+91 6396618390,"Wearing white saree, grey hair, speaks Hindi",Reunited,7.3,False,Cross-center transfer needed
KMP-2027-00048,2027-08-14 12:36,Dinesh Agarwal,Male,41-60,Assam,Assam District 3,Bengali,Kapila Sangam,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8302563940,Man from UP,Reunited,5.5,False,Bharat Bharati volunteer handled
KMP-2027-00049,2027-08-07 19:00,Sanjay Menon,Male,80+,Odisha,Odisha District 1,Gujarati,Sadhugram Gate 2,Adgaon Kho-Ya-Paya,,,Reunited,6.1,False,Family waiting at center
KMP-2027-00050,2027-07-03 07:15,Parvati Gupta,Female,71-80,Assam,Assam District 2,Marathi,Takli Sangam,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9680911523,Child missing,Reunited,0.4,False,
KMP-2027-00051,2027-07-16 21:26,Ravi Mishra,Male,0-12,Maharashtra,Pune,Gujarati,Trimbak Road,Ramkund Kho-Ya-Paya Kendra,+91 9256304376,"Young boy in blue uniform, school bag",Reunited,8.2,False,Brought by volunteer
KMP-2027-00052,2027-08-13 10:04,Rakesh Kumar,Male,61-70,Jharkhand,Jharkhand District 2,Tamil,Dasak Ghat,Panchavati Center,+91 9408842146,"Old man, hearing aid, wearing full pants shirt",Reunited,2.2,False,Found near ghat
KMP-2027-00053,2027-08-12 17:17,Ashok Sinha,Male,41-60,Kerala,Kerala District 2,Hindi,Ramkund Ghat,Nashik Road Center,+91 8123557463,Lost near ghats,Pending,,False,Found near ghat
KMP-2027-00054,2027-07-07 06:19,Meena Iyer,Female,41-60,West Bengal,Asansol,Telugu,Dasak Ghat,Central Control Room,+91 7774576271,"Old man, hearing aid, wearing full pants shirt",Reunited,0.4,False,Bharat Bharati volunteer handled
KMP-2027-00055,2027-07-31 14:47,Dinesh Menon,Male,80+,Chhattisgarh,Chhattisgarh District 3,Marathi,Nandur Ghat,Bharat Bharati Control Room,+91 7375919523,"Boy about 12, wearing school dress",Reunited,13.6,False,Cross-center transfer needed
KMP-2027-00056,2027-07-25 16:06,Vimla Menon,Female,13-17,Haryana,Haryana District 1,Awadhi,Dindori Road Crossing,Rajur Bahula Center,+91 6588322781,"Wearing white saree, grey hair, speaks Hindi",Pending,,False,Family waiting at center
KMP-2027-00057,2027-07-03 14:31,Mahesh Reddy,Male,71-80,Andhra Pradesh,Kurnool,Maithili,Sadhugram Gate 1,Bharat Bharati Control Room,+91 7148690765,"Man in saffron kurta, has rudraksha mala",Reunited,2.4,False,GGTalk app used
KMP-2027-00058,2027-07-03 16:13,Deepak Desai,Male,61-70,Bihar,Saran,Telugu,Dasak Ghat,Rajur Bahula Center,+91 9400368694,"Man in saffron kurta, has rudraksha mala",Reunited,4.6,False,Cross-center transfer needed
KMP-2027-00059,2027-07-22 12:08,Ashok Yadav,Male,18-40,Jharkhand,Jharkhand District 1,Maithili,Trimbak Road,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6154308262,"Child in red shirt, about 8-10 years, crying",Reunited,1.0,False,Police assisted
KMP-2027-00060,2027-08-12 05:08,Pushpa Roy,Female,41-60,Rajasthan,Jodhpur,Awadhi,Ramkund Ghat,Panchavati Center,+91 7218032515,"Man in saffron kurta, has rudraksha mala",Reunited,0.8,True,Bharat Bharati volunteer handled
KMP-2027-00061,2027-08-02 12:39,Kanta Gupta,Female,71-80,Chhattisgarh,Chhattisgarh District 3,Kannada,Kushavart Kund,Police Main Control Room,,"Old man confused, keeps asking for Ramkund",Reunited,0.1,False,Bharat Bharati volunteer handled
KMP-2027-00062,2027-07-18 15:24,Rajesh Mehta,Male,61-70,Madhya Pradesh,Gwalior,Kannada,Main Police Chowki,Police Main Control Room,+91 6235497187,"Old man confused, keeps asking for Ramkund",Reunited,2.2,False,
KMP-2027-00063,2027-07-22 19:25,Parvati Roy,Female,71-80,West Bengal,Siliguri,Bengali,Gauri Patangan,Bharat Bharati Control Room,+91 7544328940,"Child girl, pigtails, pink frock, about 6 years",Reunited,1.2,False,Cross-center transfer needed
KMP-2027-00064,2027-07-04 15:42,Kavita Gupta,Female,13-17,Bihar,Nalanda,Bengali,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,+91 7697398528,"Woman in burqa, has small child with her",Pending,,False,Found near ghat
KMP-2027-00065,2027-07-26 05:38,Usha Singh,Female,41-60,Odisha,Odisha District 1,Tamil,Madsangvi Transit,Central Control Room,+91 8697285504,"Young boy in blue uniform, school bag",Reunited,1.5,False,
KMP-2027-00066,2027-07-27 19:21,Dinesh Nair,Male,0-12,Uttar Pradesh,Varanasi,Telugu,Adgaon Parking,Panchavati Center,+91 7503935666,"Old man confused, keeps asking for Ramkund",Reunited,3.4,False,
KMP-2027-00067,2027-07-18 11:48,,Male,13-17,Jharkhand,Jharkhand District 3,Bengali,Nashik Road Station,Bharat Bharati Control Room,+91 9544726404,"Woman in burqa, has small child with her",Reunited,4.5,False,GGTalk app used
KMP-2027-00068,2027-07-09 13:18,Sunita Tiwari,Female,61-70,Uttar Pradesh,Allahabad,Kannada,Nandur Ghat,Bharat Bharati Control Room,+91 7923935280,"Wearing white saree, grey hair, speaks Hindi",Reunited,0.8,False,Brought by volunteer
KMP-2027-00069,2027-07-05 15:36,Ankit Rao,Male,0-12,Maharashtra,Nagpur,Bengali,Gauri Patangan,Nashik Road Center,,"Old man, bald, wearing vest and dhoti",Reunited,2.1,False,
KMP-2027-00070,2027-08-08 15:14,Laxmi Agarwal,Female,80+,Madhya Pradesh,Ujjain,Maithili,Nandur Ghat,Ramkund Kho-Ya-Paya Kendra,+91 7567804106,"Child in red shirt, about 8-10 years, crying",Reunited,3.0,False,Police assisted
KMP-2027-00071,2027-08-07 20:29,Ankit Reddy,Male,41-60,Rajasthan,Udaipur,Awadhi,Trimbak Road,Nashik Road Center,,"Boy about 12, wearing school dress",Reunited,17.2,False,Cross-center transfer needed
KMP-2027-00072,2027-08-02 07:19,Prakash Gupta,Male,61-70,Karnataka,Belagavi,Hindi,Dasak Ghat,Rajur Bahula Center,,"Old man in dhoti kurta, cannot remember name",Reunited,1.4,False,
KMP-2027-00073,2027-07-10 15:45,Anjali Chaudhary,Female,61-70,Maharashtra,Nagpur,Gujarati,Trimbakeshwar Approach,Police Main Control Room,+91 7445236735,,Reunited,4.9,False,GGTalk app used
KMP-2027-00074,2027-08-10 15:04,Sita Pandey,Female,41-60,Uttarakhand,Uttarakhand District 2,Bengali,Nandur Ghat,Bharat Bharati Control Room,+91 6947425963,"Woman with three children, lost husband",Reunited,5.1,False,Family waiting at center
KMP-2027-00075,2027-08-08 07:19,Rekha Gupta,Female,18-40,Punjab,Punjab District 2,Telugu,Panchavati Circle,Adgaon Kho-Ya-Paya,+91 9238460786,,Reunited,4.4,False,Cross-center transfer needed
KMP-2027-00076,2027-08-01 11:14,Kavita Reddy,Female,61-70,Uttar Pradesh,Lucknow,Tamil,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,+91 7466932310,"Child in red shirt, about 8-10 years, crying",Reunited,0.4,False,GGTalk app used
KMP-2027-00077,2027-08-14 10:46,Hari Roy,Male,18-40,Haryana,Haryana District 1,Telugu,Dasak Ghat,Central Control Room,,"Elderly woman, cannot speak properly, Gujarati",Reunited,1.1,False,Found near ghat
KMP-2027-00078,2027-07-19 17:32,Pushpa Agarwal,Female,41-60,Odisha,Odisha District 1,Bhojpuri,Nashik Road Station,Adgaon Kho-Ya-Paya,+91 9595725097,"Young boy in blue uniform, school bag",Reunited,0.6,False,Cross-center transfer needed
KMP-2027-00079,2027-07-29 21:09,Bharat Trivedi,Male,71-80,Chhattisgarh,Chhattisgarh District 1,Kannada,Gauri Patangan,Bharat Bharati Control Room,+91 7392907427,"Man in saffron kurta, has rudraksha mala",Pending,,False,Bharat Bharati volunteer handled
KMP-2027-00080,2027-07-07 15:50,Sunil Pandey,Male,80+,Punjab,Punjab District 1,Tamil,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,,"Old man in dhoti kurta, cannot remember name",Pending,,False,
KMP-2027-00081,2027-07-25 08:03,Pooja Agarwal,Female,71-80,Uttar Pradesh,Lucknow,Awadhi,Dindori Road Crossing,Adgaon Kho-Ya-Paya,+91 7689274064,,Reunited,0.5,False,Family waiting at center
KMP-2027-00082,2027-07-23 12:36,Parvati Shah,Female,71-80,Andhra Pradesh,Tirupati,Marathi,Gauri Patangan,Ramkund Kho-Ya-Paya Kendra,,Lost near ghats,Reunited,1.8,False,GGTalk app used
KMP-2027-00083,2027-07-02 16:50,,Male,71-80,Maharashtra,Thane,Marathi,Trimbakeshwar Approach,Panchavati Center,+91 8372354893,"Man in saffron kurta, has rudraksha mala",Reunited,5.3,False,
KMP-2027-00084,2027-07-09 07:45,Hari Krishnan,Male,71-80,Jharkhand,Jharkhand District 3,Bhojpuri,Dasak Ghat,Central Control Room,+91 7971339002,"Old man confused, keeps asking for Ramkund",Reunited,0.9,True,Found near ghat
KMP-2027-00085,2027-07-22 13:07,Ankit Trivedi,Male,0-12,West Bengal,Bardhaman,Kannada,Laxmi Narayan Ghat,Adgaon Kho-Ya-Paya,+91 6804086195,"Old man, bald, wearing vest and dhoti",Pending,,False,
KMP-2027-00086,2027-07-24 14:19,Anil Pandey,Male,61-70,Madhya Pradesh,Satna,Bengali,Dasak Ghat,Nashik Road Center,+91 9746879296,Old woman,Reunited,2.3,False,Police assisted
KMP-2027-00087,2027-08-02 10:01,Nisha Yadav,Female,71-80,Maharashtra,Nashik,Kannada,Sadhugram Gate 2,Nashik Road Center,+91 9490102359,Lost near ghats,Reunited,0.3,False,Police assisted
KMP-2027-00088,2027-07-09 21:23,Rakesh Verma,Male,61-70,Punjab,Punjab District 2,Tamil,Kapila Sangam,Panchavati Center,+91 6716243819,,Reunited,0.5,False,Announcement made on PA
KMP-2027-00089,2027-08-01 11:07,,Male,71-80,Jharkhand,Jharkhand District 1,Gujarati,Sadhugram Gate 2,Bharat Bharati Control Room,+91 8845156039,"Boy about 12, wearing school dress",Pending,,False,
KMP-2027-00090,2027-08-14 10:50,Vimla Dubey,Female,71-80,Assam,Assam District 3,Marathi,Laxmi Narayan Ghat,Police Main Control Room,+91 8269119969,"Man in saffron kurta, has rudraksha mala",Unresolved,,False,Brought by volunteer
KMP-2027-00091,2027-07-20 17:45,Savita Pandey,Female,41-60,Assam,Assam District 1,Bengali,Bus Stand Nashik,Police Main Control Room,+91 6170596494,"Elderly woman, cannot speak properly, Gujarati",Reunited,0.3,False,Cross-center transfer needed
KMP-2027-00092,2027-08-02 06:53,Prakash Rao,Male,18-40,Assam,Assam District 3,Tamil,Sadhugram Gate 1,Police Main Control Room,+91 7564520346,"Elderly man with walking stick, hard of hearing",Reunited,1.6,False,Police assisted
KMP-2027-00093,2027-08-10 14:39,Anjali Roy,Female,0-12,West Bengal,Durgapur,Gujarati,Panchavati Circle,Bharat Bharati Control Room,+91 8234400576,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,3.5,False,Family waiting at center
KMP-2027-00094,2027-08-11 13:41,Laxmi Dubey,Female,61-70,Uttar Pradesh,Varanasi,Awadhi,Rajur Bahula,Nashik Road Center,,"Elderly woman, cannot speak properly, Gujarati",Reunited,2.8,False,Found near ghat
KMP-2027-00095,2027-07-29 18:30,Seema Mehta,Female,71-80,Haryana,Haryana District 2,Awadhi,Dasak Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6269737590,"Child girl, pigtails, pink frock, about 6 years",Reunited,7.9,False,Police assisted
KMP-2027-00096,2027-07-16 09:06,Geeta Pillai,Female,61-70,Telangana,Telangana District 1,Awadhi,Kushavart Kund,Sadhugram Lost Found,+91 8582750043,"Old man, bald, wearing vest and dhoti",Reunited,13.2,False,Police assisted
KMP-2027-00097,2027-07-02 07:25,Kanta Dubey,Female,18-40,Chhattisgarh,Chhattisgarh District 2,Bhojpuri,Nashik Road Station,Rajur Bahula Center,+91 8634047267,"Man in saffron kurta, has rudraksha mala",Reunited,0.2,False,Family waiting at center
KMP-2027-00098,2027-07-17 16:48,Parvati Rao,Female,61-70,Bihar,Bhagalpur,Bengali,Kapila Sangam,Panchavati Center,,"Old man in dhoti kurta, cannot remember name",Reunited,3.3,False,Found near ghat
KMP-2027-00099,2027-07-11 11:38,Sunil Agarwal,Male,41-60,Delhi,Delhi District 3,Hindi,Nashik Road Station,Adgaon Kho-Ya-Paya,+91 7203810954,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,0.6,False,Announcement made on PA
KMP-2027-00100,2027-08-09 14:37,Dinesh Iyer,Male,18-40,Delhi,Delhi District 2,Maithili,Nandur Ghat,Police Main Control Room,,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,3.3,False,
KMP-2027-00101,2027-07-04 20:10,Sanjay Singh,Male,61-70,Uttar Pradesh,Mathura,Bengali,Nashik Road Station,Nashik Road Center,+91 7874597473,Man from UP,Reunited,4.6,True,
KMP-2027-00102,2027-07-04 09:33,Prakash Dubey,Male,61-70,West Bengal,Siliguri,Kannada,Rajur Bahula,Police Main Control Room,+91 9890099255,"Child girl, pigtails, pink frock, about 6 years",Reunited,1.5,False,GGTalk app used
KMP-2027-00103,2027-08-05 14:14,Bharat Rao,Male,71-80,Karnataka,Belagavi,Bhojpuri,Takli Sangam,Sadhugram Lost Found,+91 7399580835,Old woman,Reunited,2.7,False,GGTalk app used
KMP-2027-00104,2027-07-23 09:18,Pushpa Desai,Female,18-40,Assam,Assam District 2,Marathi,Kushavart Kund,Sadhugram Lost Found,+91 9978726109,Old woman,Reunited,2.3,False,Announcement made on PA
KMP-2027-00105,2027-07-10 12:03,Ankit Trivedi,Male,61-70,Karnataka,Mysuru,Kannada,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,,"Child girl, pigtails, pink frock, about 6 years",Reunited,5.9,True,GGTalk app used
KMP-2027-00106,2027-07-19 06:58,Sita Shukla,Female,71-80,Odisha,Odisha District 2,Maithili,Trimbakeshwar Approach,Nashik Road Center,+91 8444851196,"Man in saffron kurta, has rudraksha mala",Reunited,7.6,True,
KMP-2027-00107,2027-07-19 06:00,Ankit Patel,Male,0-12,Haryana,Haryana District 2,Marathi,Takli Sangam,Nashik Road Center,,"Girl child about 5 years, red bindi, crying",Pending,,False,Announcement made on PA
KMP-2027-00108,2027-07-11 13:45,Mamta Shah,Female,80+,Chhattisgarh,Chhattisgarh District 2,Telugu,Adgaon Parking,Central Control Room,+91 6455069350,Child missing,Reunited,3.4,False,
KMP-2027-00109,2027-07-09 20:20,Parvati Roy,Female,61-70,Telangana,Telangana District 1,Bengali,Dindori Road Crossing,Central Control Room,+91 6298407302,"Woman speaking Tamil, wearing silk saree",Reunited,5.6,False,Found near ghat
KMP-2027-00110,2027-08-08 08:40,Sangeeta Sharma,Female,41-60,Tamil Nadu,Chennai,Bhojpuri,Takli Sangam,Panchavati Center,+91 9429430802,"Girl child about 5 years, red bindi, crying",Reunited,0.6,False,Family waiting at center
KMP-2027-00111,2027-07-29 21:45,Ravi Trivedi,Male,71-80,West Bengal,Nadia,Marathi,Laxmi Narayan Ghat,Bharat Bharati Control Room,+91 6664258474,"Old man, hearing aid, wearing full pants shirt",Reunited,3.2,False,Family waiting at center
KMP-2027-00112,2027-07-29 06:29,Sita Dubey,Female,61-70,West Bengal,Durgapur,Kannada,Sadhugram Gate 2,Police Main Control Room,+91 6648011361,"Elderly woman, cannot speak properly, Gujarati",Reunited,3.3,False,Found near ghat
KMP-2027-00113,2027-07-23 07:34,Asha Yadav,Female,71-80,Kerala,Kerala District 1,Hindi,Kushavart Kund,Bharat Bharati Control Room,,"Old woman in white saree, widow marks",Reunited,0.8,False,Cross-center transfer needed
KMP-2027-00114,2027-07-23 08:11,Parvati Shukla,Female,71-80,Jharkhand,Jharkhand District 2,Gujarati,Panchavati Circle,Adgaon Kho-Ya-Paya,+91 7801726890,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,1.0,True,
KMP-2027-00115,2027-07-18 11:59,Priya Rao,Female,61-70,Haryana,Haryana District 1,Bengali,Sadhugram Gate 1,Central Control Room,+91 8266560311,Lost near ghats,Reunited,11.0,False,Brought by volunteer
KMP-2027-00116,2027-07-15 11:48,,Male,61-70,Maharashtra,Mumbai,Tamil,Kushavart Kund,Ramkund Kho-Ya-Paya Kendra,+91 9571332733,"Man in yellow kurta, has tilak, speaks Bhojpuri",Reunited,9.9,False,Family waiting at center
